Task_ID,Task_Duration_Days,Labor_Required,Equipment_Units,Material_Cost_USD,Start_Constraint,Risk_Level,Resource_Constraint_Score,Site_Constraint_Score,Dependency_Count,Cost_Per_Day,Labour_Intensity,Combined_Constraint_Score,Complexity_Score,Risk_Score,Composite_Risk_Index,Cost_Risk_Flag,Underestimated_Risk_Flag,Schedule_Critical_Flag,Priority_Score,Priority_Tier,Triple_Threat
T184,51,3,3,8620.2,12,Low,0.92,0.23,2,169.02,1.0,0.575,0.552,1,0.447,False,False,False,0.392,P3 - Standard Review,False
T185,44,3,3,69919.46,3,High,0.41,0.41,2,1589.08,1.0,0.41,0.471,3,0.723,False,False,False,0.485,P3 - Standard Review,False
T186,24,6,3,38897.08,23,Medium,0.53,0.21,3,1620.71,2.0,0.37,0.444,2,0.541,False,False,False,0.443,P3 - Standard Review,False
T187,79,13,3,82361.26,12,Low,0.92,0.6,4,1042.55,4.33,0.76,0.883,1,0.584,False,True,True,0.607,P2 - Monitor Closely,False
T188,59,15,9,66291.57,11,Low,0.92,0.68,1,1123.59,1.67,0.8,0.58,1,0.501,False,False,False,0.385,P3 - Standard Review,False
T189,32,9,4,79827.9,4,Low,0.75,0.85,0,2494.62,2.25,0.8,0.384,1,0.442,False,False,False,0.278,P4 - Low Priority,False
T190,88,4,7,27922.66,9,Medium,0.89,0.32,0,317.3,0.57,0.605,0.577,2,0.627,False,False,False,0.396,P3 - Standard Review,False
T191,52,14,9,69543.53,27,Medium,0.27,0.86,4,1337.38,1.56,0.565,0.703,2,0.657,False,False,False,0.591,P2 - Monitor Closely,False
T192,62,5,7,27142.14,23,High,0.89,0.15,2,437.78,0.71,0.52,0.585,3,0.78,False,False,False,0.534,P2 - Monitor Closely,False
T193,58,2,9,93967.78,8,Low,0.46,0.58,2,1620.13,0.22,0.52,0.567,1,0.441,False,False,False,0.397,P3 - Standard Review,False
T194,52,11,3,64001.05,19,Medium,0.34,0.15,2,1230.79,3.67,0.245,0.457,2,0.519,False,False,False,0.399,P3 - Standard Review,False
T195,12,9,4,33126.67,6,Medium,0.39,0.82,2,2760.56,2.25,0.605,0.385,2,0.57,False,False,False,0.405,P3 - Standard Review,False
T196,39,3,8,27681.67,1,Low,0.53,0.52,2,709.79,0.38,0.525,0.483,1,0.417,False,False,False,0.364,P3 - Standard Review,False
T197,2,9,6,19901.73,21,Low,0.4,0.64,4,9950.86,1.5,0.52,0.465,1,0.41,False,False,False,0.451,P3 - Standard Review,False
T198,3,3,5,69769.45,23,High,0.46,0.77,3,23256.48,0.6,0.615,0.423,3,0.75,False,False,False,0.567,P2 - Monitor Closely,False
T199,56,2,4,22652.85,27,High,0.31,0.22,1,404.52,0.5,0.265,0.406,3,0.675,False,False,False,0.41,P3 - Standard Review,False
T200,81,12,8,59935.02,22,Low,0.44,0.13,2,739.94,1.5,0.285,0.6,1,0.404,False,False,False,0.388,P3 - Standard Review,False
T201,59,10,1,27198.87,6,Medium,0.66,0.8,3,461.0,10.0,0.73,0.709,2,0.692,False,False,False,0.568,P2 - Monitor Closely,False
T202,2,9,9,66534.93,7,Low,0.55,0.35,0,33267.46,1.0,0.45,0.144,1,0.3,False,False,False,0.225,P4 - Low Priority,False
T203,2,15,1,81679.03,6,Medium,0.48,0.2,4,40839.52,15.0,0.34,0.411,2,0.525,False,False,False,0.548,P2 - Monitor Closely,False
T204,54,8,8,78024.5,20,Medium,0.8,0.47,3,1444.9,1.0,0.635,0.658,2,0.658,False,False,False,0.543,P2 - Monitor Closely,False
T205,87,5,4,76324.28,22,Medium,0.91,0.58,2,877.29,1.25,0.745,0.765,2,0.712,False,False,False,0.553,P2 - Monitor Closely,False
T206,1,11,9,19584.52,28,High,0.81,0.12,2,19584.52,1.22,0.465,0.294,3,0.681,False,False,False,0.462,P3 - Standard Review,False
T207,19,2,5,9750.11,13,Medium,0.47,0.32,2,513.16,0.4,0.395,0.354,2,0.519,False,False,False,0.372,P3 - Standard Review,False
T208,2,15,3,70195.93,25,Low,0.8,0.13,3,35097.96,5.0,0.465,0.373,1,0.372,False,False,False,0.428,P3 - Standard Review,False
T209,53,6,9,37466.37,18,Medium,0.32,0.44,2,706.91,0.67,0.38,0.502,2,0.56,False,False,False,0.426,P3 - Standard Review,False
T210,44,8,9,43802.28,4,Low,0.3,0.82,3,995.51,0.89,0.56,0.591,1,0.456,False,False,False,0.445,P3 - Standard Review,False
T211,32,5,4,4083.76,22,Low,0.48,0.89,2,127.62,1.25,0.685,0.499,1,0.453,False,False,False,0.381,P3 - Standard Review,False
T212,70,16,4,26698.07,24,Low,0.85,0.61,0,381.4,4.0,0.73,0.534,1,0.473,False,False,False,0.323,P3 - Standard Review,False
T213,32,18,8,4333.96,17,Low,0.4,0.23,0,135.44,2.25,0.315,0.238,1,0.301,False,False,False,0.18,P4 - Low Priority,False
T214,68,6,2,88039.39,19,Medium,0.25,0.82,1,1294.7,3.0,0.535,0.541,2,0.603,False,False,False,0.417,P3 - Standard Review,False
T215,55,5,9,25096.27,11,Low,0.31,0.51,2,456.3,0.56,0.41,0.52,1,0.405,False,False,False,0.368,P3 - Standard Review,False
T216,75,16,6,56176.38,22,Medium,0.89,0.22,2,749.02,2.67,0.555,0.654,2,0.641,False,False,False,0.496,P3 - Standard Review,False
T217,56,13,9,4858.95,16,Medium,0.71,0.84,3,86.77,1.44,0.775,0.709,2,0.701,False,False,False,0.57,P2 - Monitor Closely,False
T218,17,5,8,67017.89,12,Low,0.4,0.71,3,3942.23,0.62,0.555,0.468,1,0.418,False,False,False,0.405,P3 - Standard Review,False
T219,38,13,7,32979.71,1,High,0.64,0.69,2,867.89,1.86,0.665,0.52,3,0.789,False,False,False,0.522,P2 - Monitor Closely,False
T220,24,17,1,89894.0,24,Low,0.62,0.67,1,3745.58,17.0,0.645,0.376,1,0.408,False,False,False,0.303,P3 - Standard Review,False
T221,69,18,3,88923.7,12,Low,0.72,0.26,2,1288.75,6.0,0.49,0.607,1,0.447,False,False,False,0.408,P3 - Standard Review,False
T222,70,8,2,33203.77,25,Medium,0.39,0.27,3,474.34,4.0,0.33,0.639,2,0.591,False,False,True,0.51,P2 - Monitor Closely,False
T223,86,13,5,90195.13,6,Low,0.89,0.65,2,1048.78,2.6,0.77,0.768,1,0.551,False,True,False,0.49,P3 - Standard Review,False
T224,11,19,5,99619.61,27,Low,0.45,0.28,3,9056.33,3.8,0.365,0.384,1,0.355,False,False,False,0.369,P3 - Standard Review,False
T225,16,3,5,82716.15,9,Medium,0.76,0.45,2,5169.76,0.6,0.605,0.403,2,0.575,False,False,False,0.417,P3 - Standard Review,False
T226,73,8,4,84642.26,22,Medium,0.21,0.73,4,1159.48,2.0,0.47,0.769,2,0.658,False,False,True,0.608,P2 - Monitor Closely,False
T227,59,2,5,25651.86,5,Low,0.5,0.73,3,434.78,0.4,0.615,0.675,1,0.492,False,False,False,0.479,P3 - Standard Review,False
T228,70,8,3,58093.54,2,High,0.48,0.46,1,829.91,2.67,0.47,0.531,3,0.753,False,False,False,0.473,P3 - Standard Review,False
T229,80,13,1,7658.34,25,Medium,0.63,0.73,4,95.73,13.0,0.68,0.864,2,0.729,False,False,True,0.658,P2 - Monitor Closely,False
T230,3,13,5,10396.88,2,High,0.26,0.77,2,3465.63,2.6,0.515,0.318,3,0.698,False,False,False,0.441,P3 - Standard Review,False
T231,20,1,9,99890.37,17,Low,0.83,0.62,3,4994.52,0.11,0.725,0.532,1,0.471,False,False,False,0.444,P3 - Standard Review,False
T232,59,6,9,33337.29,10,Medium,0.37,0.28,4,565.04,0.67,0.325,0.663,2,0.597,False,False,False,0.556,P2 - Monitor Closely,False
T233,36,19,4,75070.21,21,High,0.74,0.32,1,2085.28,4.75,0.53,0.396,3,0.725,True,False,False,0.431,P3 - Standard Review,False
T234,19,16,3,80859.84,19,Medium,0.84,0.35,3,4255.78,5.33,0.595,0.489,2,0.599,False,False,False,0.483,P3 - Standard Review,False
T235,67,8,1,85944.3,4,Medium,0.65,0.19,4,1282.75,8.0,0.42,0.727,2,0.635,False,False,True,0.588,P2 - Monitor Closely,False
T236,19,1,2,99765.2,18,Low,0.79,0.32,4,5250.8,0.5,0.555,0.552,1,0.443,False,False,False,0.476,P3 - Standard Review,False
T237,20,16,8,24908.15,21,Low,0.73,0.27,4,1245.41,2.0,0.5,0.54,1,0.429,False,False,False,0.459,P3 - Standard Review,False
T238,71,9,1,4994.73,26,Low,0.48,0.46,0,70.35,9.0,0.47,0.46,1,0.399,False,False,False,0.275,P4 - Low Priority,False
T239,52,13,8,41707.96,27,Low,0.85,0.83,2,802.08,1.62,0.84,0.636,1,0.525,False,False,False,0.446,P3 - Standard Review,False
T240,33,11,7,13877.99,18,High,0.44,0.18,3,420.55,1.57,0.31,0.466,3,0.702,False,False,False,0.511,P2 - Monitor Closely,False
T241,40,13,8,3220.16,29,Low,0.66,0.68,3,80.5,1.62,0.67,0.606,1,0.482,False,False,False,0.457,P3 - Standard Review,False
T242,39,10,6,36682.26,14,High,0.8,0.65,3,940.57,1.67,0.725,0.618,3,0.83,False,False,False,0.601,P2 - Monitor Closely,False
T243,82,4,9,78590.09,29,High,0.5,0.18,4,958.42,0.44,0.34,0.771,3,0.799,True,False,True,0.664,P2 - Monitor Closely,True
T244,1,6,3,57051.89,15,Low,0.44,0.84,2,57051.89,2.0,0.64,0.346,1,0.398,False,False,False,0.44,P3 - Standard Review,False
T245,11,7,4,31965.02,23,Low,0.57,0.55,1,2905.91,1.75,0.56,0.292,1,0.366,False,False,False,0.263,P4 - Low Priority,False
T246,57,5,6,65779.86,8,High,0.85,0.39,3,1154.03,0.83,0.62,0.667,3,0.824,False,False,False,0.611,P2 - Monitor Closely,False
T247,89,11,8,23969.8,3,High,0.94,0.71,2,269.32,1.38,0.825,0.798,3,0.904,False,False,False,0.637,P2 - Monitor Closely,False
T248,50,13,5,2423.76,14,Low,0.64,0.31,2,48.48,2.6,0.475,0.517,1,0.417,False,False,False,0.371,P3 - Standard Review,False
T249,23,19,3,76670.99,24,Low,0.73,0.65,0,3333.52,6.33,0.69,0.31,1,0.398,False,False,False,0.244,P4 - Low Priority,False
T250,31,10,6,62750.57,11,Medium,0.92,0.13,3,2024.21,1.67,0.525,0.522,2,0.595,False,False,False,0.485,P3 - Standard Review,False
T251,42,10,4,76467.96,22,Medium,0.28,0.77,4,1820.67,2.5,0.525,0.646,2,0.632,False,False,False,0.568,P2 - Monitor Closely,False
T252,7,11,9,4854.86,2,Low,0.39,0.46,2,693.55,1.22,0.425,0.309,1,0.344,False,False,False,0.291,P4 - Low Priority,False
T253,16,7,3,83874.84,22,Medium,0.77,0.61,2,5242.18,2.33,0.69,0.429,2,0.6,False,False,False,0.433,P3 - Standard Review,False
T254,60,18,4,62333.09,13,Low,0.86,0.28,1,1038.88,4.5,0.57,0.516,1,0.435,False,False,False,0.343,P3 - Standard Review,False
T255,2,4,7,56776.14,16,Low,0.89,0.64,0,28388.07,0.57,0.765,0.238,1,0.391,False,False,False,0.275,P4 - Low Priority,False
T256,1,2,7,62836.79,18,Low,0.53,0.72,2,62836.79,0.29,0.625,0.342,1,0.394,False,False,False,0.449,P3 - Standard Review,False
T257,48,14,4,86578.89,5,Low,0.27,0.48,2,1803.73,3.5,0.375,0.478,1,0.385,False,False,False,0.352,P3 - Standard Review,False
T258,12,13,6,59106.71,3,Low,0.55,0.59,4,4925.56,2.17,0.57,0.525,1,0.438,False,False,False,0.467,P3 - Standard Review,False
T259,69,12,3,58514.09,6,Low,0.38,0.47,4,848.03,4.0,0.425,0.738,1,0.473,False,True,True,0.525,P2 - Monitor Closely,False
T260,37,7,6,99077.24,29,Low,0.43,0.82,1,2677.76,1.17,0.625,0.429,1,0.42,False,False,False,0.318,P3 - Standard Review,False
T261,32,2,2,75916.29,18,Low,0.82,0.5,1,2372.38,1.0,0.66,0.417,1,0.424,False,False,False,0.316,P3 - Standard Review,False
T262,9,13,8,44787.09,16,Low,0.26,0.77,1,4976.34,1.62,0.515,0.27,1,0.351,False,False,False,0.256,P4 - Low Priority,False
T263,19,14,2,71032.3,24,High,0.86,0.74,4,3738.54,7.0,0.8,0.625,3,0.848,False,False,False,0.653,P2 - Monitor Closely,False
T264,48,17,7,39533.82,15,Low,0.54,0.43,4,823.62,2.43,0.485,0.661,1,0.462,False,False,False,0.502,P2 - Monitor Closely,False
T265,80,9,9,23658.67,14,Low,0.68,0.28,0,295.73,1.0,0.48,0.504,1,0.414,False,False,False,0.292,P4 - Low Priority,False
T266,3,17,1,60088.34,21,Medium,0.27,0.42,3,20029.45,17.0,0.345,0.342,2,0.505,False,False,False,0.442,P3 - Standard Review,False
T267,20,8,8,92890.03,7,High,0.47,0.76,3,4644.5,1.0,0.615,0.499,3,0.773,True,False,False,0.556,P2 - Monitor Closely,False
T268,24,2,7,92984.81,18,Low,0.27,0.28,0,3874.37,0.29,0.275,0.19,1,0.279,False,False,False,0.167,P4 - Low Priority,False
T269,54,13,6,34848.62,7,Medium,0.97,0.52,3,645.34,2.17,0.745,0.691,2,0.69,False,False,False,0.563,P2 - Monitor Closely,False
T270,33,3,6,53240.07,17,Medium,0.85,0.74,4,1613.34,0.5,0.795,0.687,2,0.698,False,False,False,0.604,P2 - Monitor Closely,False
T271,24,16,6,21951.95,27,Medium,0.57,0.38,3,914.66,2.67,0.475,0.475,2,0.571,False,False,False,0.462,P3 - Standard Review,False
T272,75,6,9,99567.48,15,Low,0.38,0.61,4,1327.57,0.67,0.495,0.786,1,0.501,False,True,True,0.55,P2 - Monitor Closely,False
T273,72,19,2,98130.67,19,Medium,0.95,0.3,0,1362.93,9.5,0.625,0.511,2,0.612,False,False,False,0.375,P3 - Standard Review,False
T274,36,7,1,65301.38,18,Low,0.48,0.19,1,1813.93,7.0,0.335,0.337,1,0.335,False,False,False,0.26,P4 - Low Priority,False
T275,38,10,6,80636.99,9,Medium,0.33,0.74,0,2122.03,1.67,0.535,0.331,2,0.54,False,False,False,0.303,P3 - Standard Review,False
T276,84,9,8,71794.92,16,Medium,0.65,0.18,3,854.7,1.12,0.415,0.727,2,0.634,False,False,True,0.55,P2 - Monitor Closely,False
T277,89,2,3,59722.66,12,Low,0.96,0.32,4,671.04,0.67,0.64,0.892,1,0.562,False,True,True,0.599,P2 - Monitor Closely,False
T278,25,15,1,6281.45,12,High,0.2,0.78,3,251.26,15.0,0.49,0.484,3,0.743,False,False,False,0.531,P2 - Monitor Closely,False
T279,18,5,9,46021.67,6,Low,0.39,0.38,3,2556.76,0.56,0.385,0.421,1,0.37,False,False,False,0.371,P3 - Standard Review,False
T280,82,4,1,67803.84,26,High,0.95,0.88,1,826.88,4.0,0.915,0.718,3,0.898,False,False,False,0.578,P2 - Monitor Closely,False
T281,66,4,3,68075.63,9,Low,0.34,0.88,3,1031.45,1.33,0.61,0.705,1,0.5,False,True,True,0.491,P3 - Standard Review,False
T282,54,18,8,37939.14,1,Low,0.29,0.31,1,702.58,2.25,0.3,0.408,1,0.349,False,False,False,0.281,P4 - Low Priority,False
T283,35,4,3,94227.51,3,Low,0.66,0.13,4,2692.21,1.33,0.395,0.576,1,0.418,False,False,False,0.467,P3 - Standard Review,False
T284,80,17,4,17568.35,24,High,0.89,0.66,4,219.6,4.25,0.775,0.892,3,0.923,False,False,True,0.743,P1 - Immediate Attention,False
T285,61,12,8,50535.59,5,Low,0.58,0.46,1,828.45,1.5,0.52,0.505,1,0.422,False,False,False,0.334,P3 - Standard Review,False
T286,41,17,1,69397.51,23,Low,1.0,0.18,0,1692.62,17.0,0.59,0.361,1,0.393,False,False,False,0.251,P4 - Low Priority,False
T287,33,10,6,70016.44,17,Low,0.74,0.67,4,2121.71,1.67,0.705,0.66,1,0.506,False,False,False,0.522,P2 - Monitor Closely,False
T288,68,1,1,65215.26,22,Medium,0.26,0.12,0,959.05,1.0,0.19,0.363,2,0.48,False,False,False,0.285,P4 - Low Priority,False
T289,33,18,1,28253.53,5,Medium,0.99,0.8,4,856.17,18.0,0.895,0.717,2,0.727,False,False,False,0.622,P2 - Monitor Closely,False
T290,14,18,8,16464.45,28,Low,0.53,0.21,4,1176.03,2.25,0.37,0.474,1,0.383,False,False,False,0.424,P3 - Standard Review,False
T291,21,14,4,63958.09,29,Low,0.43,0.2,2,3045.62,3.5,0.315,0.339,1,0.331,False,False,False,0.299,P4 - Low Priority,False
T292,48,15,1,60330.91,24,Low,0.65,0.24,3,1256.89,15.0,0.445,0.574,1,0.428,False,False,False,0.43,P3 - Standard Review,False
T293,20,12,7,18756.25,22,Low,0.44,0.87,3,937.81,1.71,0.655,0.511,1,0.451,False,False,False,0.423,P3 - Standard Review,False
T294,8,4,5,70808.78,16,Low,0.27,0.65,0,8851.1,0.8,0.46,0.174,1,0.311,False,False,False,0.186,P4 - Low Priority,False
T295,7,3,5,46062.03,13,Medium,0.2,0.74,3,6580.29,0.6,0.47,0.397,2,0.546,False,False,False,0.444,P3 - Standard Review,False
T296,67,12,1,67108.3,23,Low,0.56,0.42,0,1001.62,12.0,0.49,0.448,1,0.399,False,False,False,0.274,P4 - Low Priority,False
T297,17,7,6,83899.34,10,Low,0.87,0.37,4,4935.26,1.17,0.62,0.562,1,0.459,False,False,False,0.484,P3 - Standard Review,False
T298,33,11,9,17803.11,25,Low,0.66,0.29,2,539.49,1.22,0.475,0.441,1,0.394,False,False,False,0.344,P3 - Standard Review,False
T299,48,1,9,2895.34,18,High,1.0,0.48,2,60.32,0.11,0.74,0.588,3,0.824,False,False,False,0.552,P2 - Monitor Closely,False
T300,76,6,8,78131.16,29,High,0.43,0.54,4,1028.04,0.75,0.485,0.787,3,0.833,True,False,True,0.682,P2 - Monitor Closely,True
T301,59,15,5,61360.05,1,High,0.42,0.61,1,1040.0,3.0,0.515,0.495,3,0.752,False,False,False,0.464,P3 - Standard Review,False
T302,86,15,1,70264.32,27,Low,0.33,0.31,1,817.03,15.0,0.32,0.558,1,0.398,False,False,False,0.338,P3 - Standard Review,False
T303,22,19,9,83977.34,2,Low,0.33,0.86,3,3817.15,2.11,0.595,0.502,1,0.436,False,False,False,0.42,P3 - Standard Review,False
T304,30,11,1,80478.28,10,Low,0.43,0.24,0,2682.61,11.0,0.335,0.235,1,0.304,False,False,False,0.186,P4 - Low Priority,False
T305,38,2,8,96131.09,5,Low,0.83,0.87,2,2529.77,0.25,0.85,0.576,1,0.509,False,False,False,0.428,P3 - Standard Review,False
T306,51,14,5,54057.57,28,Medium,0.92,0.11,3,1059.95,2.8,0.515,0.609,2,0.619,False,False,False,0.515,P2 - Monitor Closely,False
T307,54,2,3,49361.07,13,Medium,0.98,0.48,4,914.09,0.67,0.73,0.762,2,0.708,False,False,False,0.626,P2 - Monitor Closely,False
T308,8,4,7,40786.83,18,High,0.39,0.37,2,5098.35,0.57,0.38,0.3,3,0.666,False,False,False,0.427,P3 - Standard Review,False
T309,27,17,7,16215.41,25,High,0.91,0.46,0,600.57,2.43,0.685,0.327,3,0.735,False,False,False,0.377,P3 - Standard Review,False
T310,27,3,9,57688.12,15,Low,0.46,0.56,0,2136.6,0.33,0.51,0.274,1,0.351,False,False,False,0.213,P4 - Low Priority,False
T311,21,13,7,28424.24,20,Medium,0.29,0.45,1,1353.54,1.86,0.37,0.28,2,0.491,False,False,False,0.307,P3 - Standard Review,False
T312,30,9,3,92209.44,21,Low,0.9,0.43,3,3073.65,3.0,0.665,0.559,1,0.467,False,False,False,0.445,P3 - Standard Review,False
T313,28,7,1,58735.89,23,Low,0.71,0.69,4,2097.71,7.0,0.7,0.636,1,0.497,False,False,False,0.512,P2 - Monitor Closely,False
T314,64,15,8,59691.18,6,Medium,0.33,0.65,2,932.67,1.88,0.49,0.585,2,0.607,False,False,False,0.466,P3 - Standard Review,False
T315,69,11,3,36137.54,29,Low,0.54,0.77,0,523.73,3.67,0.655,0.507,1,0.45,False,False,False,0.308,P3 - Standard Review,False
T316,61,2,8,6146.95,26,Low,0.43,0.3,2,100.77,0.25,0.365,0.534,1,0.4,False,False,False,0.369,P3 - Standard Review,False
T317,48,15,8,4142.63,7,Low,0.79,0.59,4,86.3,1.88,0.69,0.723,1,0.522,False,True,False,0.54,P2 - Monitor Closely,False
T318,19,14,5,42910.18,18,Medium,0.56,0.57,2,2258.43,2.8,0.565,0.405,2,0.568,False,False,False,0.408,P3 - Standard Review,False
T319,4,11,1,9371.97,19,Medium,0.99,0.4,3,2342.99,11.0,0.695,0.451,2,0.608,False,False,False,0.473,P3 - Standard Review,False
T320,35,3,7,61077.85,15,Low,0.24,0.49,1,1745.08,0.43,0.365,0.342,1,0.342,False,False,False,0.263,P4 - Low Priority,False
T321,64,17,5,88216.33,21,High,0.48,0.35,2,1378.38,3.4,0.415,0.562,3,0.752,True,False,False,0.519,P2 - Monitor Closely,False
T322,49,12,8,88408.57,26,Low,0.59,0.21,1,1804.26,1.5,0.4,0.415,1,0.371,False,False,False,0.293,P4 - Low Priority,False
T323,17,15,9,66245.5,6,Low,0.6,0.27,4,3896.79,1.67,0.435,0.507,1,0.406,False,False,False,0.447,P3 - Standard Review,False
T324,44,16,7,21911.95,8,Medium,0.45,0.18,1,498.0,2.29,0.315,0.367,2,0.506,False,False,False,0.333,P3 - Standard Review,False
T325,30,5,7,86436.69,12,Medium,0.78,0.65,2,2881.22,0.71,0.715,0.499,2,0.626,False,False,False,0.456,P3 - Standard Review,False
T326,46,6,1,88723.25,0,High,0.9,0.63,2,1928.77,6.0,0.765,0.586,3,0.829,True,False,False,0.557,P2 - Monitor Closely,False
T327,6,19,4,20468.7,28,Low,0.95,0.86,0,3411.45,4.75,0.905,0.298,1,0.437,False,False,False,0.256,P4 - Low Priority,False
T328,37,5,2,74005.18,7,Medium,0.84,0.68,2,2000.14,2.5,0.76,0.544,2,0.649,False,False,False,0.475,P3 - Standard Review,False
T329,24,3,2,29365.44,23,Medium,0.88,0.14,1,1223.56,1.5,0.51,0.336,2,0.536,False,False,False,0.338,P3 - Standard Review,False
T330,46,1,2,80461.39,21,High,0.64,0.81,0,1749.16,0.5,0.725,0.424,3,0.772,True,False,False,0.418,P3 - Standard Review,False
T331,53,6,4,99726.55,3,Low,0.86,0.79,2,1881.63,1.5,0.825,0.636,1,0.522,False,False,False,0.447,P3 - Standard Review,False
T332,60,15,1,3972.57,2,Medium,0.44,0.45,2,66.21,15.0,0.445,0.553,2,0.588,False,False,False,0.449,P3 - Standard Review,False
T333,63,2,4,89839.22,26,Medium,0.52,0.57,4,1426.02,0.5,0.545,0.747,2,0.666,False,False,False,0.606,P2 - Monitor Closely,False
T334,85,3,2,62640.42,2,Low,0.45,0.88,0,736.95,1.5,0.665,0.582,1,0.474,False,False,False,0.337,P3 - Standard Review,False
T335,32,17,5,97364.88,21,Low,0.57,0.53,4,3042.65,3.4,0.55,0.609,1,0.459,False,False,False,0.492,P3 - Standard Review,False
T336,87,12,3,47035.94,12,Low,0.43,0.82,4,540.64,4.0,0.625,0.879,1,0.555,False,True,True,0.593,P2 - Monitor Closely,False
T337,33,18,8,84891.41,7,Medium,0.97,0.17,4,2572.47,2.25,0.57,0.619,2,0.633,False,False,False,0.563,P2 - Monitor Closely,False
T338,67,15,4,7177.01,6,High,0.45,0.25,3,107.12,3.75,0.35,0.631,3,0.759,False,False,True,0.574,P2 - Monitor Closely,False
T339,18,12,1,34192.63,26,Medium,0.28,0.45,4,1899.59,12.0,0.365,0.49,2,0.553,False,False,False,0.498,P3 - Standard Review,False
T340,25,16,1,7634.64,0,Medium,0.62,0.57,1,305.39,16.0,0.595,0.366,2,0.562,False,False,False,0.354,P3 - Standard Review,False
T341,54,8,3,97558.97,26,Medium,0.25,0.75,2,1806.65,2.67,0.5,0.543,2,0.596,False,False,False,0.453,P3 - Standard Review,False
T342,58,14,9,81880.42,15,Low,0.29,0.89,3,1411.73,1.56,0.59,0.663,1,0.484,False,False,False,0.475,P3 - Standard Review,False
T343,67,17,7,85402.19,5,Low,0.38,0.41,4,1274.66,2.43,0.395,0.72,1,0.462,False,True,True,0.517,P2 - Monitor Closely,False
T344,46,8,2,93858.56,6,Low,0.57,0.14,2,2040.4,4.0,0.355,0.463,1,0.377,False,False,False,0.346,P3 - Standard Review,False
T345,24,15,9,9425.25,11,Low,0.55,0.74,0,392.72,1.67,0.645,0.301,1,0.386,False,False,False,0.23,P4 - Low Priority,False
T346,32,14,2,39174.16,22,Low,0.84,0.58,0,1224.19,7.0,0.71,0.357,1,0.416,False,False,False,0.258,P4 - Low Priority,False
T347,47,18,3,8032.45,8,Medium,0.79,0.26,2,170.9,6.0,0.525,0.519,2,0.594,False,False,False,0.443,P3 - Standard Review,False
T348,86,7,2,21868.52,26,Low,0.54,0.5,1,254.29,3.5,0.52,0.618,1,0.456,False,False,False,0.375,P3 - Standard Review,False
T349,23,3,3,23707.21,10,Low,0.47,0.69,2,1030.75,1.0,0.58,0.427,1,0.411,False,False,False,0.348,P3 - Standard Review,False
T350,66,12,6,47441.61,9,Low,0.45,0.72,2,718.81,2.0,0.585,0.622,1,0.47,False,False,False,0.42,P3 - Standard Review,False
T351,27,3,9,27587.65,20,Low,0.82,0.5,3,1021.76,0.33,0.66,0.544,1,0.462,False,False,False,0.435,P3 - Standard Review,False
T352,2,14,9,10996.83,0,High,0.24,0.34,0,5498.42,1.56,0.29,0.096,3,0.587,False,False,False,0.27,P4 - Low Priority,False
T353,17,15,7,17581.62,17,High,0.21,0.88,0,1034.21,2.14,0.545,0.24,3,0.681,False,False,False,0.335,P3 - Standard Review,False
T354,33,14,3,15580.28,3,Medium,0.84,0.63,4,472.13,4.67,0.735,0.669,2,0.681,False,False,False,0.591,P2 - Monitor Closely,False
T355,9,7,4,97334.6,4,Low,0.58,0.43,2,10814.96,1.75,0.505,0.342,1,0.37,False,False,False,0.331,P3 - Standard Review,False
T356,43,17,6,76169.96,8,Medium,0.3,0.32,2,1771.39,2.83,0.31,0.436,2,0.526,False,False,False,0.398,P3 - Standard Review,False
T357,48,12,5,96808.39,26,High,0.39,0.68,1,2016.84,2.4,0.535,0.451,3,0.742,True,False,False,0.451,P3 - Standard Review,False
T358,39,4,2,44534.31,16,Medium,0.95,0.29,0,1141.91,2.0,0.62,0.361,2,0.566,False,False,False,0.319,P3 - Standard Review,False
T359,42,9,6,28558.48,2,Low,0.89,0.24,1,679.96,1.5,0.565,0.433,1,0.41,False,False,False,0.311,P3 - Standard Review,False
T360,26,6,3,80031.03,15,Medium,0.77,0.52,3,3078.12,2.0,0.645,0.535,2,0.623,False,False,False,0.502,P2 - Monitor Closely,False
T361,50,16,8,33299.14,4,High,0.59,0.33,4,665.98,2.0,0.46,0.663,3,0.791,False,False,False,0.634,P2 - Monitor Closely,False
T362,25,2,2,30638.95,15,Medium,0.62,0.6,1,1225.56,1.0,0.61,0.37,2,0.566,False,False,False,0.359,P3 - Standard Review,False
T363,24,8,1,24018.09,2,Medium,0.98,0.19,0,1000.75,8.0,0.585,0.283,2,0.535,False,False,False,0.287,P4 - Low Priority,False
T364,13,11,9,13838.22,19,Low,0.97,0.62,3,1064.48,1.22,0.795,0.522,1,0.482,False,False,False,0.438,P3 - Standard Review,False
T365,60,13,3,26389.84,14,Medium,0.37,0.33,2,439.83,4.33,0.35,0.525,2,0.561,False,False,False,0.432,P3 - Standard Review,False
T366,7,17,1,36176.66,29,Low,0.85,0.1,3,5168.09,17.0,0.475,0.399,1,0.381,False,False,False,0.375,P3 - Standard Review,False
T367,57,8,7,67725.43,2,Medium,0.36,0.2,1,1188.17,1.14,0.28,0.415,2,0.514,False,False,False,0.349,P3 - Standard Review,False
T368,36,18,5,7193.92,19,Low,0.37,0.85,0,199.83,3.6,0.61,0.345,1,0.392,False,False,False,0.243,P4 - Low Priority,False
